District,Year,yield
Agra1,2018,4.37
Agra2,2018,4.37
Agra3,2018,4.37
Agra4,2018,4.37
Agra5,2018,4.37
Agra1,2019,4.04
Agra2,2019,4.04
Agra3,2019,4.04
Agra4,2019,4.04
Agra5,2019,4.04
Agra,2020,4.26
Agra,2020,4.26
Agra,2020,4.26
Agra,2020,4.26
Agra,2020,4.26
Agra,2021,4.05
Agra,2021,4.05
Agra,2021,4.05
Agra,2021,4.05
Agra,2021,4.05
Aligarh,2018,4.27
Aligarh,2018,4.27
Aligarh,2018,4.27
Aligarh,2018,4.27
Aligarh,2018,4.27
Aligarh,2019,4.12
Aligarh,2019,4.12
Aligarh,2019,4.12
Aligarh,2019,4.12
Aligarh,2019,4.12
Aligarh,2020,4.18
Aligarh,2020,4.18
Aligarh,2020,4.18
Aligarh,2020,4.18
Aligarh,2020,4.18
Aligarh,2021,4.19
Aligarh,2021,4.19
Aligarh,2021,4.19
Aligarh,2021,4.19
Aligarh,2021,4.19
Amroha,2018,3.81
Amroha,2018,3.81
Amroha,2018,3.81
Amroha,2018,3.81
Amroha,2018,3.81
Amroha,2019,3.87
Amroha,2019,3.87
Amroha,2019,3.87
Amroha,2019,3.87
Amroha,2019,3.87
Amroha,2020,4.02
Amroha,2020,4.02
Amroha,2020,4.02
Amroha,2020,4.02
Amroha,2020,4.02
Amroha,2021,3.95
Amroha,2021,3.95
Amroha,2021,3.95
Amroha,2021,3.95
Amroha,2021,3.95
Bareilly,2018,3.91
Bareilly,2018,3.91
Bareilly,2018,3.91
Bareilly,2018,3.91
Bareilly,2018,3.91
Bareilly,2019,3.16
Bareilly,2019,3.16
Bareilly,2019,3.16
Bareilly,2019,3.16
Bareilly,2019,3.16
Bareilly,2020,3.87
Bareilly,2020,3.87
Bareilly,2020,3.87
Bareilly,2020,3.87
Bareilly,2020,3.87
Bareilly,2021,3.91
Bareilly,2021,3.91
Bareilly,2021,3.91
Bareilly,2021,3.91
Bareilly,2021,3.91
Barnala,2018,5.57
Barnala,2018,5.57
Barnala,2018,5.57
Barnala,2018,5.57
Barnala,2018,5.57
Barnala,2019,5.25
Barnala,2019,5.25
Barnala,2019,5.25
Barnala,2019,5.25
Barnala,2019,5.25
Barnala,2020,4.8
Barnala,2020,4.8
Barnala,2020,4.8
Barnala,2020,4.8
Barnala,2020,4.8
Barnala,2021,4.57
Barnala,2021,4.57
Barnala,2021,4.57
Barnala,2021,4.57
Barnala,2021,4.57
Bathinda,2018,5.6
Bathinda,2018,5.6
Bathinda,2018,5.6
Bathinda,2018,5.6
Bathinda,2018,5.6
Bathinda,2019,5.42
Bathinda,2019,5.42
Bathinda,2019,5.42
Bathinda,2019,5.42
Bathinda,2019,5.42
Bathinda,2020,4.95
Bathinda,2020,4.95
Bathinda,2020,4.95
Bathinda,2020,4.95
Bathinda,2020,4.95
Bathinda,2021,4.41
Bathinda,2021,4.41
Bathinda,2021,4.41
Bathinda,2021,4.41
Bathinda,2021,4.41
Bijnor,2018,3.75
Bijnor,2018,3.75
Bijnor,2018,3.75
Bijnor,2018,3.75
Bijnor,2018,3.75
Bijnor,2019,3.5
Bijnor,2019,3.5
Bijnor,2019,3.5
Bijnor,2019,3.5
Bijnor,2019,3.5
Bijnor,2020,3.81
Bijnor,2020,3.81
Bijnor,2020,3.81
Bijnor,2020,3.81
Bijnor,2020,3.81
Bijnor,2021,3.75
Bijnor,2021,3.75
Bijnor,2021,3.75
Bijnor,2021,3.75
Bijnor,2021,3.75
Bulandshahi,2018,4.53
Bulandshahi,2018,4.53
Bulandshahi,2018,4.53
Bulandshahi,2018,4.53
Bulandshahi,2018,4.53
Bulandshahi,2019,4.38
Bulandshahi,2019,4.38
Bulandshahi,2019,4.38
Bulandshahi,2019,4.38
Bulandshahi,2019,4.38
Bulandshahi,2020,4.4
Bulandshahi,2020,4.4
Bulandshahi,2020,4.4
Bulandshahi,2020,4.4
Bulandshahi,2020,4.4
Bulandshahi,2021,4.44
Bulandshahi,2021,4.44
Bulandshahi,2021,4.44
Bulandshahi,2021,4.44
Bulandshahi,2021,4.44
Etah,2018,3.84
Etah,2018,3.84
Etah,2018,3.84
Etah,2018,3.84
Etah,2018,3.84
Etah,2019,4.15
Etah,2019,4.15
Etah,2019,4.15
Etah,2019,4.15
Etah,2019,4.15
Etah,2020,4.13
Etah,2020,4.13
Etah,2020,4.13
Etah,2020,4.13
Etah,2020,4.13
Etah,2021,3.89
Etah,2021,3.89
Etah,2021,3.89
Etah,2021,3.89
Etah,2021,3.89
Faridkot,2018,5.34
Faridkot,2018,5.34
Faridkot,2018,5.34
Faridkot,2018,5.34
Faridkot,2018,5.34
Faridkot,2019,5.57
Faridkot,2019,5.57
Faridkot,2019,5.57
Faridkot,2019,5.57
Faridkot,2019,5.57
Faridkot,2020,5.07
Faridkot,2020,5.07
Faridkot,2020,5.07
Faridkot,2020,5.07
Faridkot,2020,5.07
Faridkot,2021,4.58
Faridkot,2021,4.58
Faridkot,2021,4.58
Faridkot,2021,4.58
Faridkot,2021,4.58
Fazilka,2018,5.06
Fazilka,2018,5.06
Fazilka,2018,5.06
Fazilka,2018,5.06
Fazilka,2018,5.06
Fazilka,2019,4.93
Fazilka,2019,4.93
Fazilka,2019,4.93
Fazilka,2019,4.93
Fazilka,2019,4.93
Fazilka,2020,4.74
Fazilka,2020,4.74
Fazilka,2020,4.74
Fazilka,2020,4.74
Fazilka,2020,4.74
Fazilka,2021,4.28
Fazilka,2021,4.28
Fazilka,2021,4.28
Fazilka,2021,4.28
Fazilka,2021,4.28
Firozpur,2018,5.4
Firozpur,2018,5.4
Firozpur,2018,5.4
Firozpur,2018,5.4
Firozpur,2018,5.4
Firozpur,2019,5.12
Firozpur,2019,5.12
Firozpur,2019,5.12
Firozpur,2019,5.12
Firozpur,2019,5.12
Firozpur,2020,4.93
Firozpur,2020,4.93
Firozpur,2020,4.93
Firozpur,2020,4.93
Firozpur,2020,4.93
Firozpur,2021,4.37
Firozpur,2021,4.37
Firozpur,2021,4.37
Firozpur,2021,4.37
Firozpur,2021,4.37
Hapur,2018,4.22
Hapur,2018,4.22
Hapur,2018,4.22
Hapur,2018,4.22
Hapur,2018,4.22
Hapur,2019,4.48
Hapur,2019,4.48
Hapur,2019,4.48
Hapur,2019,4.48
Hapur,2019,4.48
Hapur,2020,4.18
Hapur,2020,4.18
Hapur,2020,4.18
Hapur,2020,4.18
Hapur,2020,4.18
Hapur,2021,4.38
Hapur,2021,4.38
Hapur,2021,4.38
Hapur,2021,4.38
